method,backbone_id,seed_left,seed_right,seed_pair_identity_pct,seed_pair_diversity_pct
base,1634,42,44,68.47826086956522,31.521739130434778
base,1634,43,44,70.65217391304348,29.34782608695652
base,1643,42,43,63.41463414634146,36.58536585365854
base,1643,42,44,57.3170731707317,42.6829268292683
base,1643,43,44,69.51219512195121,30.487804878048784
base,1644,42,43,50.49019607843137,49.50980392156863
base,1644,42,44,42.15686274509804,57.843137254901954
base,1644,43,44,56.372549019607845,43.627450980392155
base,1646,42,43,73.85159010600707,26.14840989399293
base,1646,42,44,73.32155477031802,26.67844522968198
base,1646,43,44,69.78798586572438,30.212014134275623
base,1663,42,43,75.79365079365078,24.20634920634921
base,1663,42,44,69.84126984126983,30.15873015873016
base,1663,43,44,76.98412698412699,23.015873015873012
base,1689,42,43,75.4325259515571,24.567474048442904
base,1689,42,44,72.66435986159169,27.3356401384083
base,1689,43,44,70.93425605536332,29.06574394463668
base,1692,42,43,72.23427331887203,27.76572668112798
base,1692,42,44,75.70498915401302,24.295010845986987
base,1692,43,44,77.65726681127983,22.342733188720175
base,1717,42,43,71.9298245614035,28.07017543859649
base,1717,42,44,63.59649122807017,36.40350877192983
base,1717,43,44,71.9298245614035,28.07017543859649
base,1722,42,43,63.03191489361703,36.96808510638297
base,1722,42,44,61.702127659574465,38.297872340425535
base,1722,43,44,72.3404255319149,27.6595744680851
base,1735,42,43,67.83216783216784,32.16783216783217
base,1735,42,44,66.43356643356644,33.56643356643356
base,1735,43,44,74.12587412587412,25.874125874125873
base,1741,42,43,82.87292817679558,17.12707182320442
base,1741,42,44,76.79558011049724,23.20441988950276
base,1741,43,44,80.11049723756905,19.889502762430944
base,1742,42,43,79.76190476190477,20.238095238095234
base,1742,42,44,73.21428571428571,26.785714285714292
base,1742,43,44,75.0,25.0
base,1748,42,43,72.11155378486056,27.88844621513944
base,1748,42,44,75.2988047808765,24.701195219123505
base,1748,43,44,67.33067729083665,32.66932270916335
base,1752,42,43,56.37663885578069,43.62336114421931
base,1752,42,44,57.80691299165673,42.19308700834327
base,1752,43,44,50.297973778307515,49.702026221692485
base,1792,42,43,67.5,32.49999999999999
base,1792,42,44,64.75,35.25
base,1792,43,44,70.5,29.500000000000004
base,1799,42,43,70.63492063492063,29.36507936507936
base,1799,42,44,67.06349206349206,32.936507936507944
base,1799,43,44,71.42857142857143,28.57142857142857
base,1813,42,43,73.44753747323341,26.552462526766597
